Review #,Review,product,delivery,price,service,explanation
1,grabe ang ganda ng tela hindi manipis saktong sakto lang ang kapal at nipis nya para hindi masyadong mainit at maayos naman po ang pagkaka deliver mabilis ship out thank u po,1,1,0,0,
2,i have pets at home so i bought this baka makatulong mag linis nang fur pero medyo hirap sya sa fur tho nakakahigop naman nang dust sa bed keri naman sya for its price ig,1,0,1,0,
3,nice qualityvery responsive pa si sellersulit sa presyong napakamuramaraming salamat talaga surely will order again,1,0,1,1,
4,received the product in good condition maganda rin ang kulay at sakto siya pang 2 person makapal rin at sana magtagal yun lang thanks,1,0,0,0,
5,vanilla  cotton candy and lavender 2nd order ko na to legit yung napanood ko sa tiktok na super nakakaattract yung amoy ng cloud ni ari g kasi yung mga kawork ko laging inaamoy yung damit ko,1,0,0,0,
6,imbis na ma surprise ako sa mystery bag napa hype lang ako haha pero sana yung mas maganda design ng one piece hindi ko kasi trip tong kasama anyway salamat seller,1,0,0,1,
7,sorry for the late rating the wire less headset is working well sounds good kaso mabilis malowbat i think 1 to 2 hrs then you have to charge it again recommended,1,0,0,0,
8,good ambilis dumating ng order ko kumpleto naman silaa super ganda nito and lahat sila ay tumitinta bibili uli ako sa susunod hehe tenkyu seller at sa rider,1,1,0,1,
9,plastic eto tlaga ang gusto kohehehe bagay na bagay sa baby koang cute nia lalo,1,0,0,0,
10,received in a timely manner pagkaorder ko naiship agad ang mga payong quality is good nagamit din agad can withstand strong wind,1,1,0,0,
11,ang gaganda lahat thank you seller and sa jt kasi ang bilis dumating more power sa inyo,1,1,0,1,
12,thankyou seller nagustuhan namin para sa anak namin,0,0,0,1,
13,thank you shopee nagustuhan nang anak ko d na n picture kasi dina s school,0,0,0,0,
14,good ganda ng product kaya naka umulit ako ng order good quality sya at may freebies din kaso nabasag pero salamat pa din sa freebies na face mirrorexception talaga yung quality ng tumbler kaya super ok talaga,1,0,0,0,
15,1010 super ganda di ko na napicturan wag lang maiipit ng nagddeliver hahaha ksi wlanh khit anong bubble wrap sa payong eh pero nareceive ko good condition order pa ko ulit sana ganun kabilis ulit shipping pra umabot before christmas haha,1,1,0,0,
16,super ganda ng item na ito correct din yung sizes and colors  super worth it and makapal din yung tsinelas thankyou very much,1,0,1,0,
17,di ito yung pictures nagamit na kasi and binigay ko na sa mga may ari ang ganda napaka useable malamang hahahaha nagustuhan din ng mga pinag bigyan ko thank you so muuuch,1,0,0,0,
18,items received po thank you po seller mabilis po ang delivery hindi expected na darating agad medyo masungit po si kuya rider pero naintindihan ko pagod lang siguro,0,1,0,1,
19,well packed and shipped immediately by seller fits perfectly on our gas stove makapal din sana magtagal its really a great way to save gas consumption natagalan lang sa courier thanks seller will order again soon,1,1,0,1,
20,thank you din kay seller ang bilis ng shipping size 37 yun pagbibigyan ko pero 3839 inorder ko para sakto sa kanya add 1 size kayo para sure,0,1,0,1,
21,worth it yung tent gamit na gamit and mura pa but the comforter and pillow super nipis so di ko ginagamit hehe but this tent is good thank you,1,0,1,0,
22,maganda yung nabili ko thank you seller,1,0,0,1,
23,super love din sya ng anak ko ang dami nyaaa thankyou seller,0,0,0,1,
24,1010 hahah ang laki pala nya super gagamitin kasi namin to for training kaya malaki inorder namin infairness kahit walang box secure naman sya wala ding basag at may mga free sticker pa salmat shopee,1,0,0,0,
25,got it already manipis yung tela ng pambahay dress but its okay pambahay lang naman the rest okay din will try if kasya once natapos na labhan thank you,1,0,0,0,
26,sulit yung pera maganda yung square pants mahaba lang sya  pwedeng ipang lakad mas mura tlga sa shopee will order again promise,1,0,1,0,
27,thankyou seller order po uli ako pag kulang,0,0,0,1,
28,mall quality mga marekiks no need to worry buy yours na medyo mahal ngalang toh mars pero worth it namn limited stocks lang mga color nito kaya humabol kana,1,0,1,0,
29,55 thank you seller effective namn sana tumagal tong naorder ko ty kay kuya rider,0,0,0,1,
30,im not in a good mood right nowpero nung nareceive ko order komy god i feel light up sobrang liwanag nung ilaw nya and walang kulangperfect may magagamit na din ako every interview online hehehe thank you seller more good quality products to comethen i will order more,1,0,0,0,
31,working naman nagustuhan ko po hehe sa uulitin po thank you,1,0,0,0,
32,lamats po medyo matagal syang dumating pero oks lang salamat din po kay kuya na nag deliver thank you po,0,1,0,1,
33,matibay bili na kayo habang may stock pa ginalingan ng seller kudos video not related for coins only,1,0,0,1,
34,ganda ng shoes and its so comfy,1,0,0,0,
35,ganda manansakto na din naman sakit dahil di naman kasi ako masyadong blessed oorder ulit akosulit na sa pricesalamat shopee,1,0,1,0,
36,thank u thank u thank u shopee at kay seller salamat ang ganda ganda po ng tela nagustuhan ng kapatid ko po next order kosana my freebie namarami pa po ako oorderen sa shop nyu dahil marami po ang ng oorder sa akin nito salamat salamat salamat at my kua,1,0,0,1,
37,nakalimutan q na magrate anw ilang beses ko na yan nagamit maganda siya and malambot then pag suot mo di siya halata na rubber,1,0,0,0,
38,good medj manipis pero okay lang very cute i really like it thank you will order again,1,0,0,0,
39,thank you seller narecieved ko na kgad ganda nia ok na para sa price nia kasyang kasya sakin nagsesend ng pic si seller bago nia ipack,1,0,1,1,
40,10 days bago dumating to the point na local lang yung seller,0,1,0,0,
41,what you see is not what you get yung unang picture ang order ko tapos tingnan nyo naman ang dumating nakaka disappoint din talaga karamihan sa mga seller ang layo hindi naman yung mismong nasa pictures ang pinapadala nila,1,0,0,0,
42,fits me perfectly for a 32 a size ang ganda ng quality then breathable worth it for the prize very affordable thank youuuu,1,0,1,0,
43,mganda sya lalu na pag may print na kasu may ibang item na damage natutuklap sya pag tanggal ng transfer tape,1,0,0,0,
44,thank you mam kahit matagak dumating order k maganda naman ang qualitysana next time mas maaga naman kasi ngayon umabot ng 13 days bagi ko na recieve,1,1,0,0,
45,late rating po pero so far magaganda po lahat ng mga product na naedeliver saakin nagamit ko na din po yung phone ring light saka holder ang ganda po thank you seller,1,1,0,1,
46,verry good sulit pera nyo bili na thank you seller,0,0,1,1,
47,tnk u suki nko dto s store nyoora sa daughter kotwing my pera dto ako order ng undergarments nyaslmat seller and shopee god bless pountil next transaction po,0,0,1,1,
48,lagsisvdjcbndns thank you so muuuuch napaka ganda ng quality tapos ang bilis dumatiiiing will order agaaaaiiinn,1,1,0,0,
49,thank you flexible sea kaso ndi waterproof perfect parin,1,0,0,0,
50,kahapon lang siya dumating almost 1 week di ko pa natatry sana fast charger sa oppo ko  and matagal sana itong connector,1,0,0,0,
