Review #,Review,product,delivery,price,service,explanation,,,,
1,manipis mali po ang print ng isa nakalagay sa likod yung isa tama hmmmp nakakatamad na mag return next time po paki check ang product bago ibalot to make sure na tama kaya nga nag order online para hindi na ma huslle eh,1,0,0,1,Feedback on product quality and seller service.,,,,
2,defective yata napabigay sakin ipapalit ko sana kaya lang waste of time lang ang ingay nya kailangan pa pukpukin para mawala ung ingay minsan naman nawawala hangin sa kabila pukpukin ulit para magkaron uli ng hangin tsaka mabilis malowbat akala ko 1416hrs parang wala pa 1hr lowbat na,1,0,0,0,Feedback on product defects,noise,and battery life.,,
3,sira yung product kaloka tsk sira yung product kaloka tsk sira yung product kaloka tsk sira yung product kaloka tsk sira yung product kaloka tsk scammer sayo na yang 300 ko,1,0,0,0,Product defect leading to scam accusation.,,,,
4,ndi sulit yun nkuha ko 99pesos at 20pcs anq order ko peo pare pareho naq kroon p nq calculator n 20pesos lnq dinalawa pa at qaminq pad n hlqanq 20 wla manlanq nkuha n lumaqpas sa 100 sa hlqanq 99pesos at 20pcs sna kht isa naqkaroon manlanq nq isanq item,1,0,1,0,Review focusing on product value and cost.,,,,
5,ndi maganda sira pa ang mouse nkaka disappoint,1,0,0,0,Defective product and disappointment.,,,,
6,madaling ma lowbat and hindi naririning boses nang caller will not order again,1,0,0,0,Product issues with battery life and call quality.,,,,
7,kala ko may pang scoop wala pala and nahawa sya sa mask and hindi sya longlasting kunting kain mo namumuo na sa labi pero mabilis yung shipping process,1,1,0,0,Review on product features,lasting,and shipping speed.,,
8,ok naman sya nakakainis lang kasi pangit ang binigay sa akin nakaangat ang paint sana comfortable at magtagal ang sandals kasi mura lang sya tamang tama sa tagulan na panahon ngayon pero sana kahit mura eh maayos ang product,1,0,1,0,Review focusing on appearance,comfort,durability and price.,,
9,wag kayo bibili dito sinasadya nila magpadala ng sirang item tapos ipapareturn sayo para palitan daw nila sobrang laki abala very rude din ung seller,1,0,0,1,Focuses on damaged product,return process,and seller rudeness.,,
10,sad to say pero kailangan ko mag rate 4 items inorder ko isa lang dumating baket naman po ganun nag bayad naman po ako ng tama kung ako naka receive ng items diko siya tatanggapin kaso nasa work ako that time kaya di din alam ng nag receive sa bahay,0,1,0,0,Delivery issue of missing items after payment.,,,,
11,wasting money nakakagigil kauit not s legit seller its fake my god,1,0,0,0,Product authenticity and fraudulent seller.,,,,
12,wag mag base sa sold at good ratingsitem is damagedwaisting of moneyitem is deffective not workingthis seller is not responsiblebefore u ship your item u must check idiot,1,0,0,1,Reviews about damaged product,seller responsibility.,,,
13,akala ko ba 10meters long eh 6 lang naman to tapos d pa nka sealed tape lg dami ko pa sana orderin ulit kaso nakaka disappointed,1,0,0,0,Product size/dimension.,,,,
14,d kopa alam sira na yong isa sa likod very poor packaging sana lagyan man lng karton yong gilid kahit mag kabilaan lng e babalik ko sana tong items kng d ko lng truepa si delivery raider naawa na ako kay raider na ulan pa ng malakas kaya kinuha ko,1,0,0,0,Damaged product during delivery.,,,,
15,terrible so disappointingi charged almost half the day tapos wala pang 5 mins nag stop na hindi na gumana ulit ang isang unit hindi talaga nag on after hours of charging sayang lang ang pera ang mahal pa naman niya tsk tsk tsk,1,0,1,0,Product functionality.,,,,
16,black iba sa first purchase ko nung unang order maganda product 2nd time ko umorder maluwag na girdle parang gamit na,1,0,0,0,Product differences.,,,,
17,manipis masyado grabe kya pala mura may pa excellent quality pang nalalaman wala naman,1,0,1,0,Product quality/price.,,,,
18,ang panget sobrayong item lokot lokot ang layo ng nasa picture sa picture is malaki at parang square sa akin ang ediniliver ay pahaba tas maliit hating pinili q is 70cmx30cm,1,0,0,0,Poor product appearance.,,,,
19,very disappointed sa shop na to wag kayo bili dtoayaw nila palitan ang d gumagana na inorder komay defect yung item n binigay hindi gumagana,1,0,0,1,Poor service.,,,,
20,panget ng ilaw pumutok yung isang ilaw hwag kayo oordeedito ampanget  di worth it sa price delikado kung ayaw niyo masunugan wag kayo oorder dito,1,0,1,0,Poor product performance,price,safety.,,
